x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x, , , , , , , , , , , , , , , , , , , ,x
x, , , ,2,3,4,5,6,7,8, , ,9, ,10, , , , ,x
x, , , , , , , , , , , , , , , , , , , ,x
x, ,1, ,x,x,x,x,x,x,x,x,x,x,x,x,x, , , ,x
x, ,C, ,x, , , , , , , , , , , ,x, ,11, ,x
x, ,16, ,x, , , , , , , , , , , ,x, , , ,x
x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x, , , ,x
x, , , , , , , , , , , , , , , , , , , ,x
x, , , , ,15, , ,14, , , , ,13, , ,12, , , ,x
x, , , , , , , , , , , , , , , , , , , ,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
